mes_any,mes,any,be,codi_be,sub_be,codi_sub,export,import
03/2022,3,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,881.1,493.9
02/2022,2,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,782.6,432.4
01/2022,1,2022,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,692.9,413.4
12/2021,12,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,788.6,489
11/2021,11,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,841.5,483.5
10/2021,10,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,810.3,453.6
09/2021,9,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,856.7,469.8
08/2021,8,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,820.4,428.1
07/2021,7,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,855,434.5
06/2021,6,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,836.7,443.2
05/2021,5,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,798.1,431.4
04/2021,4,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,791.1,423.7
03/2021,3,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,802.1,439.8
02/2021,2,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,701.4,369.8
01/2021,1,2021,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,641.2,346.6
